name,country_codes,examples,scope,match_regex,op,out_phone
t_glottalling_before_syllabic,"GB, AU, NZ, US",button→[bʌʔn̩]; little→[lɪʔl̩],intra,t(?= (n̩|l̩)),S,ʔ
t_glottalling_before_consonant_or_pause,"GB, AU, NZ",what time→[wɒʔ taɪm]; cat bowl→[kæʔ boʊl],inter,t(?= (C|#)),S,ʔ
alveolar_stop_deletion_in_clusters,"GB, US, AU, NZ",las(t) time→[læs taɪm]; ol(d) man→[oʊl mæn],both,(?<= C ) (t|d) (?= C),D,
flapping_intervocalic,"US, CA, AU",water→[wɔːɾəɹ]; ladder→[læɾəɹ],intra,(?<= V ) (t|d) (?= V),S,ɾ
h_dropping_word_initial,GB,house→[aʊs]; have→[æv],intra,(?<= # ) h (?= V),D,
r_dropping_postvocalic,"GB, AU, NZ",car→[kɑː]; hard→[hɑːd],both,(?<= V ) ɹ (?= (C|#)),D,
linking_r_between_vowels,"GB, AU, NZ",law(r) and→[lɔː ɹ ən]; far(r) away→[fɑː ɹ əˈweɪ],inter,(?<= V ) # (?= V),A,ɹ
intrusive_r_between_vowels,"GB, AU, NZ",idea(r) of→[aɪˈdɪə ɹ ɒv]; Asia(r) and→[ˈeɪʒə ɹ ænd],inter,(?<= V ) # (?= V),A,ɹ
yod_dropping_after_alveolars,"US, CA, AU",tune→[tuːn]; duty→[duːti],intra,(?<= (t|d|n|s|z|l) ) j (?= (u|ʊ|ʉ) ),D,
yod_coalescence_tj_to_tʃ,"GB, AU, NZ",Tuesday→[tʃuːzdeɪ]; got you→[ɡɒtʃu],both,t j,S,tʃ
yod_coalescence_dj_to_dʒ,"GB, AU, NZ",did you→[dɪdʒu]; would you→[wʊdʒu],inter,d j,S,dʒ
sj_coalescence_to_ʃ,"GB, AU",assume→[əˈʃuːm]; this year→[ðɪʃ jɪə],inter,s j,S,ʃ
zj_coalescence_to_ʒ,"GB, AU",as you→[æʒu]; these years→[ðiːʒ jɪəz],inter,z j,S,ʒ
g_dropping_ing,"US, GB, AU",running→[rʌnɪn]; walking→[wɔːkɪn],intra,ɪ ŋ(?= (C|#)),S,n
l_vocalisation_coda,GB,people→[piːpo]; milk→[mɪʊk],intra,(?<= V ) l (?= (C|#)),S,w
