word,format,ipa,arpa,arteme,ratio
<cutoff>,arpa,spn,S P N,spn,0.375
<cutoff>,arteme,spn,S P N,spn,0.375
<cutoff>,ipa,spn,S P N,spn,0.375
[bracketed],arpa,spn,S P N,spn,0.273
[bracketed],arteme,spn,S P N,spn,0.273
[bracketed],ipa,spn,S P N,spn,0.273
[laughter],arpa,spn,S P N,spn,0.300
[laughter],arteme,spn,S P N,spn,0.300
[laughter],ipa,spn,S P N,spn,0.300
aaa,arpa,oʊ,OW,əə,0.333
aaa,ipa,oʊ,OW,əə,0.333
aaaaaaaaaa,arpa,oʊoʊoʊoʊ,OW OW OW OW,əəəəəəəə,0.400
aaaaaaaaaa,ipa,oʊoʊoʊoʊ,OW OW OW OW,əəəəəəəə,0.400
aaaaaaaaaaaa,arpa,oʊoʊoʊoʊoʊ,OW OW OW OW OW,əəəəəəəəəə,0.417
aaaaaaaaaaaa,ipa,oʊoʊoʊoʊoʊ,OW OW OW OW OW,əəəəəəəəəə,0.417
aaaaaaaaaaaaaa,arpa,oʊoʊoʊoʊoʊoʊ,OW OW OW OW OW OW,əəəəəəəəəəəə,0.429
aaaaaaaaaaaaaa,ipa,oʊoʊoʊoʊoʊoʊ,OW OW OW OW OW OW,əəəəəəəəəəəə,0.429
aaaaaaaaaaaaaaaaaaaa,arpa,oʊoʊoʊoʊoʊoʊoʊoʊoʊ,OW OW OW OW OW OW OW OW OW,əəəəəəəəəəəəəəəəəə,0.450
aaaaaaaaaaaaaaaaaaaa,ipa,oʊoʊoʊoʊoʊoʊoʊoʊoʊ,OW OW OW OW OW OW OW OW OW,əəəəəəəəəəəəəəəəəə,0.450
aaawesome,arpa,ɔsəm,AO S M,əsən,0.333
aaawesome,arteme,ɔsəm,AO S M,əsən,0.444
aaawesome,ipa,ɔsəm,AO S M,əsən,0.444
aagh,arpa,æ,AE,ə,0.250
aagh,arteme,æ,AE,ə,0.250
aagh,ipa,æ,AE,ə,0.250
aau,arpa,oʊ,OW,əə,0.333
aau,ipa,oʊ,OW,əə,0.333
abborough,arpa,æbɚoʊ,AE B OW,əpəɹəə,0.333
abborough,ipa,æbɚoʊ,AE B OW,əpəɹəə,0.444
acestes,arteme,æsts,AE S T S,əss,0.429
acestes,ipa,æsts,AE S T S,əss,0.429
adj,arpa,ɑ,AA,ə,0.333
adj,arteme,ɑ,AA,ə,0.333
adj,ipa,ɑ,AA,ə,0.333
adjah,arpa,ɑə,AA,əə,0.200
adjah,arteme,ɑə,AA,əə,0.400
adjah,ipa,ɑə,AA,əə,0.400
adjay,arpa,ɑeɪ,AA EY,əəə,0.400
adjay,ipa,ɑeɪ,AA EY,əəə,0.400
adjoy,arpa,ɑɔɪ,AA OY,əəə,0.400
adjoy,ipa,ɑɔɪ,AA OY,əəə,0.400
aedes,arteme,idz,IY D Z,əs,0.400
aedes,ipa,idz,IY D Z,əs,0.400
ahhh,arpa,ɑ,AA,ə,0.250
ahhh,arteme,ɑ,AA,ə,0.250
ahhh,ipa,ɑ,AA,ə,0.250
ahleh,arpa,ɑl,AA L,əl,0.400
ahleh,arteme,ɑl,AA L,əl,0.400
