word,ipa,class_sequence
!kung,/kʊŋ/,kən
!kung,/ǃkʊŋ/,tkən
%,/pəˈsɛnt/,pəsənt
%,/pɚˈsɛnt/,pəsənt
& co.,/ən koʊ/,ənkəə
&lit,/ænd lɪt/,əntlət
'akikiki,/ˌɑkɪˈkiːki/,əkəkəkə
'ark at 'ee,/ˌɑː(ɹ)k ət ˈiː/,əɹkətə
'bout,/baʊt/,pəət
'cause,/kɒz/,kəs
'cause,/kɔz/,kəs
'cause,/kʌz/,kəs
'cher,[ˈt͡ʃə],ʃə
'cuzzi,/ˈkuːzi/,kəsə
'd,[d̚],t
'dine,[dĩːn],tən
'dswounds,/dzwundz/,sjəns
'em,/əm/,ən
'em,[m̩],n
'emselves,/əmˈsɛlvz/,ənsəlfs
'fore,/fɔɹ/,fəɹ
'fraid,/fɹeɪd/,fɹəət
'ganst,/ɡænst/,kənst
'ho,/hoʊ/,həə
'kay,[(ʔ)ˈkʰeɪ̯],kəə
'll,[ɫ̩],l
'll,[ɯ],ə
'murica,/ˈmɝ.ə.kə/,nəəkə
's-hertogenbosch,/-toʊx-/,təəh
's-hertogenbosch,/ˌsɜɹtoʊɡənˈbɔs/,səɹtəəkənpəs
'scuse,/skjuːs/,skjəs
'sdeath,/zdɛθ/,stəθ
-4j,/fɔː(ɹ)d͡ʒeɪ/,fəɹʃəə
-ability,[-əˈbɪl.ə.ɾi],əpələtə
-able,[eːbɐl],əpəl
-able,[ɐbɨɭ],əpəl
-borough,/-bɘɹɘ/,pəɹə
-cyte,/-ˌsajʈ/,səjt
-graphy,/-ɡræfi/,kɹəfə
-ine,/-ɪn~-ən/,ənən
-itude,[ˌtu̟d],tət
-itude,[ˌt͡ʃʉu̯d],ʃəət
-o,[æ̠ʉ~ɐʉ],əəəə
1990s,[ˈnaɪn.tʰinˈnaɪɾ̃iz],nəəntənnəətəs
a closed mouth gathers no feet,/ə ˈkloʊzd ˌmaʊθ ˈɡæ.ðɚz noʊ ˈfiːt/,əkləəstnəəθkəθəsnəəfət
a fortiori,/ˈeɪ fɔɹʃˈjɔˑɹaɪ/,əəfəɹʃjəɹəə
a little bit of bread and no cheese,/ə ˈlɪt(ə)l ˈbɪt‿əv ˈbɹɛd‿n̩ noʊ ˈt͡ʃiz/,ələtəlpətəfpɹətnnəəʃəs
abbatical,/əˈbɶtɪkə/,əpətəkə
abode,[ʔəˈboʊːd̥̚],əpəət
aboon,/əˈbʏn/,əpən
about,[əˈbɵu̯t],əpəət
academic,/əkəˈɖɛmɪk/,əkətənək
accordantly,[əˈkʰɔɹɾɨ̞nʔɫi],əkəɹtənlə
achievement,[əˈt͡ʃʰiːv.mɪ̈nt̚],əʃəfnənt
act up,[ækˈtäp],əktəp
additive inverse,/ˌæd.ə.t̬ɪv ˈɪn.vɝːs/,ətətəfənfəs
adjacent,/ə(ɖ)dʒəˈsɛɳʈ/,ətʃəsənt
administrative,[ədˈmɪn.ɪ.st̠ɹ̠̊˔ʷə.tʰɪv],ətnənəstɹətəf
adolescent,/ă.ɖo.lĕs.ĕɳʈ/,ətələsənt
advertisement,/ədˈvøːtəsmənt/,ətftəsnənt
aesthetics,/ˈest̪ʰəʈɪks/,əstətəks
ah ah ah,[(ʔ)ʌ̃˨.ʔʌ̃˧ˈʔʌ̃ː˦˥˦],əəə
ah kong,[ˌɑː˧ ˈk˭ɔŋ˦],əkən
ah kua,[- k˭wãː˦],kjə
ahmed,/ˈɑːχ.mɛd/,əhnət
airy,[ˈɛ˞.i],əə
allorhythmia,/æɫloʊɻðmiːə/,əlləəɹθnəə
alumni,/æl.ŭm.naj/,ələnnəj
am,[æ̝m],ən
am,[ẽə̯̃m],əən
amar,/ˈaː.maːʳ/,ənə
ancien régime,[ɑ̃siæ̃ ʁeʒim],əsəəɹəʃən
aneuploid,/ˈæ̞njyplɔjd/,ənjjpləjt
anywhence,/ˈɛn.ɪ.ʍɛns/,ənəjəns
argh,[ɑɹɣ],əɹh
argumentum ad passiones,[aɹ.ɡuːˈmen.tũ ad pas.siˈoː.neːs],əɹkənəntəətpəssəənəs
aristotle,[ˈæɹɪˌstɒtᵊɫ̩],əɹəstətl
attune,/əˈt͜ʃuːn/,əʃən
aww yeah,[ɔː˧˧˦ jɛː˨˩ə˩],əjəə
ayuh,/eɪˈʌ↓/,əəə
ayuh,[ˀeɪˈʌˀ],əəə
b'y,[bɤi̯],pəə
ba,/ᵐba/,pə
baa,[bæ̰ˀæ̰ˀæ̰ˀæ̰ˀ],pəəəə
baillon's crake,/ˈbæ.jõːz ˌkɹæɪk/,pəjəskɹəək
benllech,/ˈbɛnɬɛx/,pənləh
betther,/ˈbet.t̪͆əɹ/,pəttəɹ
bhaji,/ˈbʱɑːd͡ʒi/,pəʃə
biñan,/bɪˈɲan/,pənən
bo chup,/bo²⁴⁻²¹ t͡sʰap̚³²/,pəsəp
bo jio,[-ˈt͡ɕjo˦˨],tʃjə
bonfire,[ˈbɒɱˌfaɪ̯ɚ],pənfəəə
bro,[bɹɞʊ̟],pɹəə
brr,[ʙ̩ː],p
button,[ˈbʌʔ.tⁿn̩],pətn
bʼakʼtun,/ˈɓakʼtun/,pəktən
cai png,[ˈt͡sʰaɪ˦˨ ˌpŋ̍˨],səəpn
call,[qʰu],kə
cannoli,/k̬ɐˈnɔːlɪ̆/,kənələ
capillary,/käˈpɪʎä.ɹi/,kəpələɹə
car,/kʰʲæɹ/,kəɹ
car,[kʰɑ̝̹ɹ],kəɹ
ceann comhairle,/caːn̪ˠ ˈkoːɾʲlʲə/,kənkətlə
cheung,[t͡ʃœŋ],ʃən
chinaman,[ˈt͡ʃʰaɪ̯nəmɪ̽n],ʃəənənən
chitlins,[ˈtʃɪtˤ.lɪnz],ʃətləns
