word,ipa
-an,[-an]
-anda,[ˈanda]
-ase,[asə]
-el-,[əl]
-er-,[ər]
-i,[-i]
-if,/if/
-ilah,/ˈilah/
-in,/ɪn/
-in-,[ɪn]
-ina,/ˈina/
-isasi,/isasi/
-isme,[-ɪsmə]
-ita,/ˈita/
-kah,[kah]
-kan,/-kan/
-ken,[kən]
-ku,/ˈku/
-ku,[ˈku]
-log,/ˈloɡ/
-log,[ˈlɔk̚]
-mu,/ˈmu/
-mu,[ˈmu]
-nya,/ˈɲa/
-nya,[ˈɲa]
-ologi,/oˈloɡi/
-ologi,[oˈlo.ɡi]
-sentris,[ˈsɛntrɪs]
-si,[si]
-tas,/ˈ-tas/
-tas,/ˈtas/
-tas,[ˈt̪as]
-wan,/ˈwan/
-wan,[ˈwan]
-wati,/wati/
-wi,[-wi]
1 tawarikh,/taˌwarix kəˈsatu/
1 tawarikh,[t̪aˌwa.rɪx kəˈsa.t̪u]
2 tawarikh,/taˌwarix kəˈdua/
2 tawarikh,[t̪aˌwa.rɪx kəˈdu.a]
3m,/ˈtiɡa ɛm/
3m,[ˈt̪i.ɡa ɛm]
a,/a/
a,[a]
a-,[a]
aa,/ˈa.a/
aa,[ˈa.(ʔ)a]
ab,/ˈabe/
ab-,[ap]
aba,/ˈaba/
aba,[ˈa.ba]
aba-aba,/ˌaba ˈaba/
aba-aba,[ˌa.ba ˈa.ba]
abab,[ˈabap̚]
abad,/ˈabad/
abad,[ˈa.bat̪̚]
abad keemasan,/ˌabad kəəˈmasan/
abad keemasan,[ˌa.bat̪̚ kə.(ʔ)əˈma.san]
abad kejayaan,/ˌabad kəd͡ʒaˈjaan/
abad kejayaan,[ˌa.bat̪̚ kə.d͡ʒaˈja.(ʔ)an]
abadi,[ˈabad̪i]
abadiah,/a.baˈdi.ah/
abadiah,[a.baˈdi.(j)ah]
abadiat,/abaˈdiat/
abadiat,[a.baˈdi.at̪̚]
abah,/ˈabah/
abah,[ˈa.bah]
abahan,/ˈabahan/
