word,ipa
-able,/ˈable/
-able,[ˈa.β̞le]
-acha,/ˈat͡ʃa/
-acha,[ˈa.t͡ʃa]
-acho,/ˈat͡ʃo/
-acho,[ˈa.t͡ʃo]
-ación,/aˈsjon/
-ación,/aˈθjon/
-ación,[aˈsjõn]
-ación,[aˈθjõn]
-ada,/ˈada/
-ada,[ˈa.ð̞a]
-adgo,/ˈadɡo/
-adgo,[ˈað̞.ɣ̞o]
-ado,/ˈado/
-ado,[ˈa.ð̞o]
-ador,/aˈdoɾ/
-ador,[aˈð̞oɾ]
-adora,/aˈdoɾa/
-adora,[aˈð̞o.ɾa]
-aja,/ˈaxa/
-aja,[ˈa.xa]
-aje,/ˈaxe/
-aje,[ˈa.xe]
-ajo,/ˈaxo/
-ajo,[ˈa.xo]
-algia,/ˈalxja/
-algia,[ˈal.xja]
-ambre,/ˈambɾe/
-ambre,[ˈãm.bɾe]
-ana,/ˈana/
-ana,[ˈa.na]
-ar,/ˈaɾ/
-ar,[ˈaɾ]
-arca,/ˈaɾka/
-arca,[ˈaɾ.ka]
-ario,/ˈaɾjo/
-ario,[ˈa.ɾjo]
-arquía,/aɾˈkia/
-arquía,[aɾˈki.a]
-arraco,/aˈrako/
-arraco,[aˈra.ko]
-ases,/ˈases/
-ases,[ˈa.ses]
-avo,/ˈabo/
-avo,[ˈa.β̞o]
-azgo,/ˈasɡo/
-azgo,/ˈaθɡo/
-azgo,[ˈaz.ɣ̞o]
-azgo,[ˈaθ̬.ɣ̞o]
-azo,/ˈaso/
-azo,/ˈaθo/
-azo,[ˈa.so]
-azo,[ˈa.θo]
-centrismo,/senˈtɾismo/
-centrismo,/θenˈtɾismo/
-centrismo,[sẽn̪ˈt̪ɾiz.mo]
-centrismo,[θẽn̪ˈt̪ɾiz.mo]
-cida,/ˈsida/
-cida,/ˈθida/
-cida,[ˈsi.ð̞a]
-cida,[ˈθi.ð̞a]
-cidio,/ˈsidjo/
-cidio,/ˈθidjo/
-cidio,[ˈsi.ð̞jo]
-cidio,[ˈθi.ð̞jo]
-cillo,/ˈsiʃo/
-cillo,/ˈsiʎo/
-cillo,/ˈsiʒo/
-cillo,/ˈsiʝo/
-cillo,/ˈθiʎo/
-cillo,/ˈθiʝo/
-cillo,[ˈsi.ʃo]
-cillo,[ˈsi.ʎo]
-cillo,[ˈsi.ʒo]
-cillo,[ˈsi.ʝo]
-cillo,[ˈθi.ʎo]
-cillo,[ˈθi.ʝo]
-ción,/ˈsjon/
-ción,/ˈθjon/
-ción,[ˈsjõn]
-ción,[ˈθjõn]
-cracia,/ˈkɾasja/
-cracia,/ˈkɾaθja/
-cracia,[ˈkɾa.sja]
-cracia,[ˈkɾa.θja]
-crático,/ˈkɾatiko/
-crático,[ˈkɾa.t̪i.ko]
-dero,/ˈdeɾo/
-dero,[ˈd̪e.ɾo]
-dor,/ˈdoɾ/
-dor,[ˈd̪oɾ]
-dora,/ˈdoɾa/
-dora,[ˈd̪o.ɾa]
-ea,/ˈea/
-ea,[ˈe.a]
-ear,/eˈaɾ/
-ear,[eˈaɾ]
-eca,/ˈeka/
-eca,[ˈe.ka]
-ecer,/eˈseɾ/
-ecer,/eˈθeɾ/
-ecer,[eˈseɾ]
-ecer,[eˈθeɾ]
-eco,/ˈeko/
-eco,[ˈe.ko]
-ecos,/ˈekos/
-ecos,[ˈe.kos]
-ego,/ˈeɡo/
-ego,[ˈe.ɣ̞o]
-ejo,/ˈexo/
-ejo,[ˈe.xo]
-encia,/ˈensja/
-encia,/ˈenθja/
-encia,[ˈẽn.sja]
