word,ipa
-ta-,/tɑ/
-ta-,/t̪ɑ/
abiri,/ɑɓiri/
abudu,/ɑɓuɗu/
acha,/ˈɑ.tʃɑ/
achali,/ɑˈtʃɑ.li/
achisha,/ɑˈtʃi.ʃɑ/
adhuhuri,/ɑ.ðuˈhu.ɾi/
adili,/ɑɗili/
adui,/ɑˈɗui/
afiki,/ɑˈfi.ki/
afrika,/ɑ.fri.kɑ/
afyuni,/ɑfˈju.ni/
ajabu,/ɑˈʄɑ.ɓu/
ajiriwa,/ɑ.ʄiˈɾi.wɑ/
akili,/ɑˈki.li/
akili,/ɑˈqi.li/
akrama,/ɑkˈɾɑ.mɑ/
alama,/ɑˈlɑ.mɑ/
almari,/ɑlˈmɑ.ɾi/
alpaka,/ɑlˈpɑ.kɑ/
amerika,/ɑˈmɛ.ɾi.kɑ/
aminifu,/ɑ.miˈni.fu/
andazi,/ɑˈⁿdɑ.zi/
andikiza,/ɑ.ⁿdiˈki.zɑ/
ardhi,/ˈɑrdi/
ardhi,/ˈɑrði/
arusi,/ɑˈɾu.si/
arusi,/ʕɑˈɾu.si/
asidi,/ɑˈsi.ɗi/
asubuhi,/ɑ.suˈɓu.hi/
baada,/ˈɓɑː.ɗɑ/
baadhi,/ˈɓɑː.ði/
baadhi,[ˈɓaːzi]
baadhi,[ˈɓaːɗi]
babara,/ˈɓɑ.ɓɑ.ɾɑ/
barabara,/ɓɑrɑˈɓɑrɑ/
barabara,/ɓɑˈrɑɓɑrɑ/
bendera,/ɓɛˈⁿdɛ.ɾɑ/
bopa,/ˈɓɔ.pɑ/
buku,/ˈɓu.ku/
buzi,/ˈɓu.zi/
chache,/ˈtʃɑ.tʃɛ/
chache,/ˈtʃʰɑ.tʃɛ/
chako,/ˈtʃɑ.kɔ/
chako,/ˈtʃʰɑ.kɔ/
chango,/ˈtʃɑ.ᵑɡɔ/
chanjo,/ˈtʃɑ.ⁿdʒɔ/
choo,/ˈtʃɔː/
choo,/ˈtʃʰɔː/
chuchu,/ˈtʃu.tʃu/
chuchumaa,/tʃu.tʃuˈmɑː/
chuchumaa,/tʃʰu.tʃuˈmɑː/
chungu,/ˈtʃu.ᵑɡu/
chungu,/ˈtʃʰu.ᵑɡu/
chungwa,/ˈtʃu.ᵑɡʷɑ/
chungwa,/ˈtʃʰu.ᵑɡʷɑ/
chuo,/ˈtʃu.ɔ/
chupa,/ˈtʃu.pɑ/
chupa,/ˈtʃʰu.pɑ/
dera,/ˈɗɛ.ɾɑ/
dhakari,/dɑ-/
dhakari,/ðɑˈkɑ.ri/
dhambi,/ˈdɑᵐbi/
dhambi,/ˈðɑᵐbi/
endapo,/ɛˈⁿdɑ.pɔ/
farasi,/fɑˈɾɑ.si/
farisi,/fɑˈɾi.si/
fedha,/ˈfɛ.ðɑ/
fenesi,/fɛˈnɛ.si/
fikra,/ˈfik.ɾɑ/
foronya,/fɔˈɾɔ.ɲɑ/
fundo,/ˈfuⁿ.dɔ/
gae,/ˈɠɑ.ɛ/
gari,/ˈɡa.ri/
gesi,/ˈɠɛ.si/
ghafi,/ˈɡɑ.fi/
ghafi,/ˈɣɑ.fi/
ghulamu,/ɡu.la.mu/
ghulamu,/ɣu.la.mu/
gubigubi,/ɡubiɡubi/
guu,/ˈɠuː/
habari,/hɑˈɓɑ.ɾi/
habari,/xɑˈɓɑ.ɾi/
hakuna matata,/hɑˈku.nɑ mɑˈtɑ.tɑ/
haramia,/hɑ.ɾɑˈmi.ɑ/
hata,/ˈhɑ.tɑ/
hata,/ˈħɑtːɑ/
hela,/ˈhɛ.la/
hofu,/ˈhɔ.fu/
hofu,/ˈxɔ.fu/
homa,/ˈhɔ.mɑ/
hotuba,/hoˈtu.ba/
hotuba,/ˈho.tu.ba/
husiano,/hu.siˈɑ.nɔ/
ijayo,/iˈʄɑ.jɔ/
iliyopita,/iˈli.jɔ ˈpi.tɑ/
imani,/iˈmɑni/
jamali,/ʄɑˈmɑ.li/
jambo,/ˈʄɑ.ᵐbɔ/
jana,/ˈʄɑ.nɑ/
kaa,/ˈkɑː/
kaa,/ˈkʰɑː/
kabati,/kɑˈɓɑti/
kahawa,/kɑˈhɑ.wɑ/
kamusi,/kɑˈmu.si/
kanda,/ˈkɑ.ⁿdɑ/
kanda,/ˈkʰɑ.ⁿdɑ/
kanga,/ˈkɑ.ᵑɡɑ/
kanzu,/ˈkɑ.ⁿzu/
kanzu,/ˈkʰɑ.ⁿzu/
kazi,/ˈkɑ.zi/
kenya,/kɛ.ɲɑ/
keti,/ˈkɛ.ti/
keti,/ˈkʰɛ.t̪i/
khofu,/ˈxɔ.fu/
kiboko,/kiˈɓɔkɔ/
kikuku,/kiˈku.ku/
kikuku,/kiˈkʰu.ku/
kima,/ˈki.mɑ/
kima,/ˈqi.mɑ/
kinembe,/kiˈnɛ.ᵐbɛ/
kisu,/ˈki.su/
kisukari,/ki.suˈkɑ.ɾi/
kiswahili,/ki.sʷɑˈhi.li/
kitanda,/kiˈtɑ.ⁿdɑ/
kitanda,/kiˈtʰɑ.ⁿdɑ/
kitu,/ˈki.tu/
kitu,/ˈkʰi.tu/
kivuko,/kiˈvu.kɔ/
kovu,/ˈkɔ.vu/
kuku,/ˈku.ku/
kuku,/ˈkʰu.ku/
kurasa,/kuˈɾɑ.sɑ/
kurasa,/kʰuˈɾɑ.sɑ/
kuu,/ˈkuː/
kuu,/ˈkʰuː/
kweli,/ˈkwɛ.li/
la,/lɑ/
la,/ˈlɑ/
laana,/lɑˈɑ.nɑ/
laana,/lɑˈʕɑ.nɑ/
lama,/ˈlɑ.mɑ/
lazima,/lɑˈzi.mɑ/
lazima,/ˈlɑ.zi.mɑ/
m,/m̩/
mafuta,/mɑˈfu.tɑ/
maguu,/mɑˈɠuː/
makani,/mɑˈkɑ.ni/
manjano,/mɑˈⁿdʒɑ.nɔ/
maridadi,/mɑ.ɾiˈɗɑ.ɗi/
maskini,/mɑsˈki.ni/
maua,/ma.ˈu.a/
mazu,/ˈmɑ.zu/
mbali,/ˈᵐbɑ.li/
mbaya,/m̩ˈɓɑ.jɑ/
mbaya,/ˈᵐbɑ.jɑ/
mbogo,/ˈᵐbɔ.ɠɔ/
mbovu,/m̩ˈɓɔ.vu/
mbovu,/ˈᵐbɔ.vu/
menyeka,/mɛˈɲɛ.kɑ/
meza,/ˈmɛzɑ/
mfuko,/m̩ˈfu.kɔ/
mganda,/mˈɡɑn.dɑ/
mguu,/m̩ˈɠuː/
miguu,/miˈɠuː/
mkenya,/mˈkɛ.ɲɑ/
mkulima,/m̩.kuˈli.mɑ/
mkulima,/m̩.kʰuˈli.mɑ/
mlango,/m̩ˈlɑ.ᵑɡɔ/
