id,word,language,lexicons,_attachments,_etag,_rid,_self,_ts,createdAt,description,emphasisIPA,inUse,ipa,level,lexicon,multiWord,partition,pos,syllable,updatedAt,validated
348d21cf-cc70-47ab-bc60-097a93d39a52,:,en,:,attachments/,"""00005501-0000-0100-0000-671085d80000""",wj55AN06Pz0BAAAAAAAAAA==,dbs/wj55AA==/colls/wj55AN06Pz0=/docs/wj55AN06Pz0BAAAAAAAAAA==/,1729136088,1657123629174,,""":""",True,:,0,"{""us"": ["":""]}",,default,,:,1729136088248,False
3c40dc26-3c86-4240-9e33-bf3d4efb6d4f,10,en,t ɪ n;t ɛ n;t ə n,attachments/,"""00006305-0000-0100-0000-67108ea80000""",wj55AN06Pz0CAAAAAAAAAA==,dbs/wj55AA==/colls/wj55AN06Pz0=/docs/wj55AN06Pz0CAAAAAAAAAA==/,1729138344,1657123629323,,"""tˈɛn""",True,tˈɛn,0,"{""us"": [""t ɛ n""]}",,default,,ten,1729138344472,True
013f56bf-08ff-49e5-b156-3ead1a4c9acd,160,en,ɔ n h ʌ n d ɹ ə d ə n d s ɪ k s t i;w ʌ n h ʌ n d ɹ ə d ə n d s ɪ k s t i;ə ʊ n h ʌ n d ɹ ɪ d æ n d s ɪ k s t ɪ;w ʌ n h ʌ n d ɹ ə d ɑ n d s ɪ k s t i;ɔ n h ʌ n d ɹ ɪ d æ n d s ɪ k s t i;ɔ n h ʌ n d ɹ ɪ d ə n d s ɪ k s t i;w ʌ n h ʌ n d ɹ ə d ə n d s ɪ k s t ɪ;w ʌ n h ʌ n d ɹ ɪ d æ n d s ɪ k s t i;w ʌ n h ʌ n d ɹ ɪ d ɑ n d s ɪ k s t i;w ʌ n h ʌ n d ɹ ə d æ n d s ɪ k s t i;w ʌ n h ʌ n d ɹ ɪ d æ n d s ɪ k s t ɪ;w ʌ n h ʌ n d ɹ ɪ d ə n d s ɪ k s t i;w ʌ n h ʌ n d ɹ ɪ d ə n d s ɪ k s t ɪ;ə ʊ n h ʌ n d ɹ ɪ d ə n d s ɪ k s t ɪ;ə ʊ n h ʌ n d ɹ ə d æ n d s ɪ k s t ɪ;ə ʊ n h ʌ n d ɹ ə d ə n d s ɪ k s t ɪ;w ʌ n h ʌ n d ɹ ə d æ n d s ɪ k s t ɪ;ɔ n h ʌ n d ɹ ə d æ n d s ɪ k s t i;w ʌ n h ʌ n ɝ d æ n d s ɪ k s t i;w ʌ n h ʌ n ɝ d æ n d s ɪ k s t ɪ;w ʌ n h ʌ n ɝ d ɑ n d s ɪ k s t i;w ʌ n h ʌ n ɝ d ə n d s ɪ k s t i;w ʌ n h ʌ n ɝ d ə n d s ɪ k s t ɪ;ɔ n h ʌ n ɝ d æ n d s ɪ k s t i;ɔ n h ʌ n ɝ d ə n d s ɪ k s t i;ə ʊ n h ʌ n ɝ d æ n d s ɪ k s t ɪ;ə ʊ n h ʌ n ɝ d ə n d s ɪ k s t ɪ,attachments/,"""00007808-0000-0100-0000-671090ad0000""",wj55AN06Pz0DAAAAAAAAAA==,dbs/wj55AA==/colls/wj55AN06Pz0=/docs/wj55AN06Pz0DAAAAAAAAAA==/,1729138861,1657123629344,,"wˈʌnhˈʌndɹɪ""""hˈʌndɹɪdˈændsˈɪksti",True,w ˈʌ n . h ˈʌ n . d ɹ ɪ d . ˈæ n d . s ˈɪ k s . t i,0,"{""us"": [""w ʌ n h ʌ n d ɹ ɪ d æ n d s ɪ k s t i""]}",,default,,one.hun.dred.and.six.ty,1729138861223,False
e7771596-7dfb-4055-a876-384f0f17d44c,!,en,!,attachments/,"""00006505-0000-0100-0000-67108ea90000""",wj55AN06Pz0EAAAAAAAAAA==,dbs/wj55AA==/colls/wj55AN06Pz0=/docs/wj55AN06Pz0EAAAAAAAAAA==/,1729138345,1657123629195,,"""!""",True,!,0,"{""us"": [""!""]}",,default,,!,1729138345154,False
3bb45bdc-4d33-4f1a-b3df-8a12473cb40b,",",en,",",attachments/,"""00006605-0000-0100-0000-67108ea90000""",wj55AN06Pz0FAAAAAAAAAA==,dbs/wj55AA==/colls/wj55AN06Pz0=/docs/wj55AN06Pz0FAAAAAAAAAA==/,1729138345,1657123629147,,""",""",True,",",0,"{""us"": ["",""]}",,default,,",",1729138345378,False
515a0d5b-a4f9-4202-b1e0-fd7afefd1c8e,.,en,,attachments/,"""00007908-0000-0100-0000-671090ad0000""",wj55AN06Pz0GAAAAAAAAAA==,dbs/wj55AA==/colls/wj55AN06Pz0=/docs/wj55AN06Pz0GAAAAAAAAAA==/,1729138861,1657123629258,,"""""",True,.,0,"{""us"": ["".""]}",,default,,.,1729138861651,False
e3fcf013-c580-435c-8cb3-9c78392df1c6,.?,en,?,attachments/,"""00007a08-0000-0100-0000-671090ad0000""",wj55AN06Pz0HAAAAAAAAAA==,dbs/wj55AA==/colls/wj55AN06Pz0=/docs/wj55AN06Pz0HAAAAAAAAAA==/,1729138861,1657123629282,,"""?""",True,. ?,0,"{""us"": ["". ?""]}",,default,,.?,1729138861863,False
d0bdba03-f436-4307-a43e-60a42bb3a1db,?!,en,? !,attachments/,"""00006905-0000-0100-0000-67108eaa0000""",wj55AN06Pz0JAAAAAAAAAA==,dbs/wj55AA==/colls/wj55AN06Pz0=/docs/wj55AN06Pz0JAAAAAAAAAA==/,1729138346,1657123629235,,"""?!""",True,? !,0,"{""us"": [""? !""]}",,default,,?!,1729138346050,False
c94f7b8d-81a5-48c3-9695-6605acf2a5b0,?,en,?,attachments/,"""00006a05-0000-0100-0000-67108eaa0000""",wj55AN06Pz0KAAAAAAAAAA==,dbs/wj55AA==/colls/wj55AN06Pz0=/docs/wj55AN06Pz0KAAAAAAAAAA==/,1729138346,1657123629216,,"""?""",True,?,0,"{""us"": [""?""]}",,default,,?,1729138346272,False
bd11b1e4-c798-4f49-81b0-958faeae7b19,200,en,t w ə ʊ h ʌ n d ɹ ɪ d;t u h ʌ n d ɹ ə d;t w ɔ h ʌ n d ɹ ə d;t u h ʌ n d ɹ ɪ d;t w ɔ h ʌ n d ɹ ɪ d;t w ə ʊ h ʌ n d ɹ ə d;t u h ʌ n ɝ d;t w ɔ h ʌ n ɝ d;t w ə ʊ h ʌ n ɝ d,attachments/,"""00007b08-0000-0100-0000-671090ae0000""",wj55AN06Pz0LAAAAAAAAAA==,dbs/wj55AA==/colls/wj55AN06Pz0=/docs/wj55AN06Pz0LAAAAAAAAAA==/,1729138862,1657123629365,,"""tˈu""hˈʌndɹɪd",True,t ˈu . h ˈʌ n . d ɹ ɪ d,0,"{""us"": [""t u h ʌ n d ɹ ɪ d""]}",,default,,two.hun.dred,1729138862085,False
